id,tournament_id,match_id,duel_format,time_utc,custom_time,player_1_id,player_2_id,dw1,dw2,status,created_at,updated_at,updated_by,deleted_by,deleted_at,created_by,duel_number,results_last_error,results_checked_at,rating_full,rating
20250330-86771532-85217439,Friendly-Matches,20250330UKRPRT,Bo3,2025-03-30T17:30:00Z,0,86771532,85217439,1,2,Done,"2026-03-12 10:49:35","2026-04-15 13:50:43",1,,,,1,,"2026-04-15 13:50:43",,
20250330-41973045-94346145,Friendly-Matches,20250330UKRPRT,Bo3,2025-03-30T17:30:00Z,0,41973045,94346145,2,1,Done,"2026-03-12 10:49:35","2026-04-15 13:50:43",1,,,,2,,"2026-04-15 13:50:43",,
20250330-95673062-83925004,Friendly-Matches,20250330UKRPRT,Bo3,2025-03-30T17:30:00Z,0,95673062,83925004,2,0,Done,"2026-03-12 10:49:35","2026-04-15 13:50:43",1,,,,3,,"2026-04-15 13:50:43",,
20250330-95704683-93739167,Friendly-Matches,20250330UKRPRT,Bo3,2025-03-30T17:30:00Z,0,95704683,93739167,1,2,Done,"2026-03-12 10:49:35","2026-04-15 13:50:43",1,,,,4,,"2026-04-15 13:50:43",,
20250330-87903300-84799895,Friendly-Matches,20250330UKRPRT,Bo3,2025-03-30T17:30:00Z,0,87903300,84799895,2,1,Done,"2026-03-12 10:49:35","2026-04-15 13:50:43",1,,,,5,,"2026-04-15 13:50:43",,
20250407-86771532-84441803,Friendly-Matches,20250407UKRLVA,Bo3,2025-04-07T19:00:00Z,0,86771532,84441803,2,1,Done,"2026-03-12 11:06:23","2026-04-15 13:52:22",1,,,,1,,"2026-04-15 13:52:22",,
20250407-94373811-97277276,Friendly-Matches,20250407UKRLVA,Bo3,2025-04-07T19:00:00Z,0,94373811,97277276,2,0,Done,"2026-03-12 11:06:23","2026-04-15 13:54:05",1,,,,2,,"2026-04-15 13:54:05",,
20250407-93914523-84970340,Friendly-Matches,20250407UKRLVA,Bo3,2025-04-07T19:00:00Z,0,93914523,84970340,0,2,Done,"2026-03-12 11:06:23","2026-04-15 13:52:22",1,,,,3,,"2026-04-15 13:52:22",,
20250407-84654631-14710161,Friendly-Matches,20250407UKRLVA,Bo3,2025-04-07T19:00:00Z,0,84654631,14710161,2,0,Done,"2026-03-12 11:06:23","2026-04-15 13:52:22",1,,,,4,,"2026-04-15 13:52:22",,
20250407-41973045-84651577,Friendly-Matches,20250407UKRLVA,Bo3,2025-04-07T19:00:00Z,0,41973045,84651577,2,0,Done,"2026-03-12 11:06:23","2026-04-15 13:52:21",1,,,,5,,"2026-04-15 13:52:21",,
