id,tournament_id,match_id,duel_number,duel_format,time_utc,custom_time,player_1_id,player_2_id,status,created_by
20251009-94546376-85397297,Friendly-Matches,20251009UKRHRV,1,Bo3,09/10/2025 18:00:00,0,94546376,85397297,Planned,84375106
20251009-96885694-85431140,Friendly-Matches,20251009UKRHRV,2,Bo3,09/10/2025 18:00:00,0,96885694,85431140,Planned,84375106
20251009-84654631-95122337,Friendly-Matches,20251009UKRHRV,3,Bo3,09/10/2025 18:00:00,0,84654631,95122337,Planned,84375106
20251009-41973045-84823639,Friendly-Matches,20251009UKRHRV,4,Bo3,09/10/2025 18:00:00,0,41973045,84823639,Planned,84375106
20251009-84512971-91906040,Friendly-Matches,20251009UKRHRV,5,Bo3,09/10/2025 18:00:00,0,84512971,91906040,Planned,84375106
20251009-86771532-94419184,Friendly-Matches,20251009UKRHRV,6,Bo3,09/10/2025 18:00:00,0,86771532,94419184,Planned,84375106
20251009-84375106-86611873,Friendly-Matches,20251009UKRHRV,7,Bo3,09/10/2025 18:15:00,1,84375106,86611873,Planned,84375106
20251012-84799895-92416909,Friendly-Matches,20251012PRTUKR,1,Bo3,12/10/2025 17:00:00,0,84799895,92416909,Planned,84375106
20251012-93739167-86771532,Friendly-Matches,20251012PRTUKR,2,Bo3,12/10/2025 17:00:00,0,93739167,86771532,Planned,84375106
20251012-92686959-94546376,Friendly-Matches,20251012PRTUKR,3,Bo3,12/10/2025 17:00:00,0,92686959,94546376,Planned,84375106
20251012-91221773-96885694,Friendly-Matches,20251012PRTUKR,4,Bo3,12/10/2025 17:00:00,0,91221773,96885694,Planned,84375106
20251012-94346145-84654631,Friendly-Matches,20251012PRTUKR,5,Bo3,12/10/2025 17:00:00,0,94346145,84654631,Planned,84375106
20251012-95814549-85577871,Friendly-Matches,20251012PRTUKR,6,Bo3,12/10/2025 17:00:00,0,95814549,85577871,Planned,84375106
20251015-97238273-84441803,Friendly-Matches,20251015UKRLVA,1,Bo3,15/10/2025 18:00:00,0,97238273,84441803,Planned,84375106
20251015-41973045-90355270,Friendly-Matches,20251015UKRLVA,2,Bo3,15/10/2025 18:00:00,0,41973045,90355270,Planned,84375106
20251015-95673062-14710161,Friendly-Matches,20251015UKRLVA,3,Bo3,15/10/2025 18:00:00,0,95673062,14710161,Planned,84375106
20251015-94546376-84016964,Friendly-Matches,20251015UKRLVA,4,Bo3,15/10/2025 18:00:00,0,94546376,84016964,Planned,84375106
20251015-95704683-94385542,Friendly-Matches,20251015UKRLVA,5,Bo3,15/10/2025 18:00:00,0,95704683,94385542,Planned,84375106
