id,tournament_id,match_id,duel_number,duel_format,time_utc,custom_time,player_1_id,player_2_id,status,created_by
20250410-87995425-84486751,Friendly-Matches,20250410BRAESP,1,Bo3,10/04/2025 20:00:00,0,87995425,84486751,,84375106
20250410-88259345-88262806,Friendly-Matches,20250410BRAESP,2,Bo3,10/04/2025 20:00:00,0,88259345,88262806,,84375106
20250410-86345496-86256371,Friendly-Matches,20250410BRAESP,3,Bo3,10/04/2025 20:00:00,0,86345496,86256371,,84375106
20250410-93433730-88124331,Friendly-Matches,20250410BRAESP,4,Bo3,10/04/2025 20:00:00,0,93433730,88124331,,84375106
20250410-88026513-86482486,Friendly-Matches,20250410BRAESP,5,Bo3,10/04/2025 20:00:00,0,88026513,86482486,,84375106
20250410-85237858-90995279,Friendly-Matches,20250410GBRBEL,1,Bo3,10/04/2025 19:00:00,0,85237858,90995279,,84375106
20250410-84972043-94586198,Friendly-Matches,20250410GBRBEL,2,Bo3,10/04/2025 19:00:00,0,84972043,94586198,,84375106
20250410-85573257-84635111,Friendly-Matches,20250410GBRBEL,3,Bo3,10/04/2025 19:00:00,0,85573257,84635111,,84375106
20250410-84783668-93464744,Friendly-Matches,20250410GBRBEL,4,Bo3,10/04/2025 19:00:00,0,84783668,93464744,,84375106
20250410-94367358-39136230,Friendly-Matches,20250410GBRBEL,5,Bo3,10/04/2025 19:00:00,0,94367358,39136230,,84375106
20250410-85412726-84983857,Friendly-Matches,20250410GBRBEL,6,Bo3,10/04/2025 19:00:00,0,85412726,84983857,,84375106
20250410-95591926-1133242,Friendly-Matches,20250410GBRBEL,7,Bo3,10/04/2025 19:00:00,0,95591926,1133242,,84375106
20250407-86771532-84441803,Friendly-Matches,20250407UKRLVA,1,Bo3,07/04/2025 19:00:00,0,86771532,84441803,,84375106
20250407-94373811-97277276,Friendly-Matches,20250407UKRLVA,2,Bo3,07/04/2025 19:00:00,0,94373811,97277276,,84375106
20250407-93914523-84970340,Friendly-Matches,20250407UKRLVA,3,Bo3,07/04/2025 19:00:00,0,93914523,84970340,,84375106
20250407-84654631-14710161,Friendly-Matches,20250407UKRLVA,4,Bo3,07/04/2025 19:00:00,0,84654631,14710161,,84375106
20250407-41973045-84651577,Friendly-Matches,20250407UKRLVA,5,Bo3,07/04/2025 19:00:00,0,41973045,84651577,,84375106
20250407-93631741-90355270,Friendly-Matches,20250407UKRLVA,6,Bo3,07/04/2025 19:00:00,0,93631741,90355270,,84375106
20250407-87903300-83908851,Friendly-Matches,20250407UKRLVA,7,Bo3,07/04/2025 19:00:00,0,87903300,83908851,,84375106
20250407-94099302-94385542,Friendly-Matches,20250407UKRLVA,8,Bo3,07/04/2025 19:00:00,0,94099302,94385542,,84375106
20250407-96490976-84016964,Friendly-Matches,20250407UKRLVA,9,Bo3,07/04/2025 19:00:00,0,96490976,84016964,,84375106
